Time,Extension,Load
(s),(mm),(N)
"59.88900","59.84478","48.13379"
"59.98900","59.94464","48.26023"
"60.08900","60.04524","48.41252"
"60.18900","60.14499","48.65500"
"60.28900","60.24491","48.84648"
"60.38900","60.34515","49.17964"
"60.48900","60.44471","49.53625"
"60.58900","60.54467","49.68651"
"60.68900","60.64531","50.11493"
"60.78900","60.74509","50.41443"
"60.88900","60.84501","50.66709"
"60.98900","60.94518","50.88879"
"61.08900","61.04487","51.24762"
"61.18900","61.14462","51.60986"
"61.28900","61.24468","51.92557"
"61.38900","61.34550","52.27208"
"61.48900","61.44463","52.58257"
"61.58900","61.54478","52.84236"
"61.68900","61.64502","53.19530"
"61.78900","61.74467","53.58240"
"61.88900","61.84443","53.83844"
"61.98900","61.94545","54.03293"
"62.08900","62.04514","54.40971"
"62.18900","62.14493","54.59394"
"62.28900","62.24494","54.80965"
"62.38900","62.34516","55.24348"
"62.48900","62.44474","55.42231"
"62.58900","62.54488","55.56151"
"62.68900","62.64528","55.81964"
"62.78900","62.74505","56.06248"
"62.88900","62.84464","56.28221"
"62.98900","62.94512","56.54929"
"63.08900","63.04462","56.78058"
"63.18900","63.14474","57.06645"
"63.28900","63.24527","57.31849"
"63.38900","63.34505","57.51697"
"63.48900","63.44464","57.69250"
"63.58900","63.54480","57.90763"
"63.68900","63.64517","58.24287"
"63.78900","63.74474","58.55671"
"63.88900","63.84488","58.83258"
"63.98900","63.94522","59.04023"
"64.08900","64.04477","59.19828"
"64.18900","64.14468","59.46764"
"64.28900","64.24522","59.56242"
"64.38900","64.34460","59.70910"
"64.48900","64.44466","59.92319"
"64.53700","64.49268","60.03006"
